text,department
"Our road hasn't been tarred from few years and our vehicles keep getting punctured due to stones on the road
Kindly tar the road",Roads
"This has been dugged 4 month back before lockdoen, even contact local MLA but have not received postive soultion to put a cement road and everywhere pot hole with rain water",Roads
"Priority will be given to food items (white rice, canned fish, vegetable oil, fish and soya source and iodine salt) and non food items (plastic sheeting, water containers and filters, mosquito nets, hygienic materials, blankets, etc).",Water
"30: Sudan has not handed over any terrorist suspects to the US said the ruling NC party's Secretary General, Ibrahim Omar.",Safety
"Footpath has been occupied by this fruit sellers which is causing lot of traffic in the road from afternoon till late evening, service road beside krpuram hanging bridge opposite to ITI GATE .So kindly arrange to remove the shops occupied in footpath.",Safety
"UMCOR also will continue to work with partners Asian Rural Institute (ARI), Sendai Christian Alliance, Church World Service, and Japan Ecumenical Disaster Response Office (JEDRO) to create, Crutchfield said, ""hubs of community activity"" for psychosocial support and for relief distributions in areas impacted by the tsunamis and the threat of radiation poisoning.",Environment
I can't take it my entire family died I'm in the streets my house was destroyed please help me,Housing
"The red sand carried by floods and streams clogs barrages and irrigation canals; and ends up covering farm plots, like Marie-Rose's.Technical assistance is being provided for effective management and operation of all water treatment plants installed in the resettlement and transit centres.",Water
"The Red Cross says unclean water is one of the biggest risks facing survivors, though no epidemics have been reported yet.",Water
"This electric pole has no streetlight installed. This is opp to vegetables and fruits shop besides new building construction going on 5th main road, 3rd block, 3rd stage, BasaveshwaraNagar. It’s very dark on this busy road. Need a new streetlight installed in this pole and one more streetlight on the next neighbouring pole also. At the junction of 5th main road between Florence school and Vani school",Electricity
"We need Help, food, water, medicine. .. we are right across the Justice Palace",Water
"This road was dug a few months back to put a pipe or cable after that this has been not asphalted, due to which vehicles move slow and it becomes traffic jam during peak hours.",Roads
"In Delma 75 they can't find potable water, food, or medecine. ",Water
"Trees touching electricity wire and has danger of short circuit. kindly look into this. location - Hennur 3rd cross, Hrbr layout 4th block, grace garden apt",Electricity
"In Northeastern Province, however, most of the main roads remained impassable.",Transport
Road in horrible condition. please save people,Roads
"Sir ?????? ????? ???? ???? ??????? ????? ?????? ,?????? ????   ?????? ???, ???????? ?????????? ?????? ???????, ????????,???? ??????? ?????? ????????, ??????????,???????????? ??? ????? ??? ????,18 ??????? ?????? ??, ??????? ????????????,",Safety
"They reported sporadic rains were still flooding air fields, roads and slowing urgent repairs along several key highways.",Transport
"It has 6 years since we moved to this place and I have been posting the same complaints year after year. But so far no action taken.

1. Tarring of our road. Our road is in a pathetic condition with each resident construc",Roads
school closed for no reason,Education
At 5th cross byrasandra 1st block Jayanagar people throw garbage even though they are instructed to not to throw here and there is public park next to the dumped garbage . This creates inconvenience for the people who will come to the park.This also spreads various diseases.,Sanitation
#frankenstorm at its best @Stonewall Inn http://t.co/ueYxQDjNThank you @bubbakoos !!!!! #sandy #sandynj power wifi and hot food. Photos coming soon @Bubbakoo's Burritos http://t.co/zjcTKaiFPeople wait inline for black ice #damage #nopower #hurricanesandy #lohud #lohudsandy #c @Town of Mamaroneck http://t.co/BK39vm2PSending out prayers to all who has been affected by Sandy! Stay safe!,Electricity
